date,price
15/10/2025,4000.0
15/10/2025,2000.0
15/10/2025,7100.0
15/10/2025,3800.0
15/10/2025,2800.0
15/10/2025,3000.0
15/10/2025,9000.0
15/10/2025,1900.0
15/10/2025,6700.0
15/10/2025,5700.0
15/10/2025,7700.0
15/10/2025,4000.0
15/10/2025,1400.0
15/10/2025,5000.0
15/10/2025,3100.0
15/10/2025,4900.0
15/10/2025,4500.0
15/10/2025,5300.0
15/10/2025,5100.0
15/10/2025,4100.0
15/10/2025,3100.0
15/10/2025,3200.0
15/10/2025,3000.0
15/10/2025,4500.0
15/10/2025,4200.0
15/10/2025,3000.0
15/10/2025,4800.0
15/10/2025,4800.0
15/10/2025,5000.0
15/10/2025,7500.0
15/10/2025,6200.0
15/10/2025,5000.0
15/10/2025,4000.0
15/10/2025,5500.0
15/10/2025,4500.0
15/10/2025,4200.0
15/10/2025,2200.0
15/10/2025,3000.0
15/10/2025,3000.0
15/10/2025,2800.0
15/10/2025,4000.0
15/10/2025,3500.0
15/10/2025,3400.0
15/10/2025,4600.0
15/10/2025,4700.0
15/10/2025,2400.0
15/10/2025,4200.0
15/10/2025,2300.0
15/10/2025,4000.0
15/10/2025,2500.0
15/10/2025,7400.0
15/10/2025,5500.0
15/10/2025,2800.0
15/10/2025,7000.0
15/10/2025,4800.0
15/10/2025,5200.0
15/10/2025,2800.0
15/10/2025,3400.0
15/10/2025,3800.0
15/10/2025,5300.0
15/10/2025,2300.0
15/10/2025,2700.0
15/10/2025,5000.0
15/10/2025,2500.0
15/10/2025,4000.0
15/10/2025,3000.0
15/10/2025,2600.0
15/10/2025,2500.0
15/10/2025,2300.0
15/10/2025,2900.0
15/10/2025,3300.0
15/10/2025,5400.0
15/10/2025,12100.0
15/10/2025,4400.0
15/10/2025,3500.0
15/10/2025,2000.0
15/10/2025,3100.0
15/10/2025,2400.0
15/10/2025,2300.0
15/10/2025,2400.0
15/10/2025,1400.0
15/10/2025,900.0
15/10/2025,5900.0
15/10/2025,3000.0
15/10/2025,4600.0
15/10/2025,7600.0
15/10/2025,3900.0
15/10/2025,3800.0
15/10/2025,3500.0
15/10/2025,1800.0
15/10/2025,1200.0
15/10/2025,2500.0
15/10/2025,2400.0
15/10/2025,4700.0
15/10/2025,2600.0
15/10/2025,6600.0
15/10/2025,4700.0
15/10/2025,3700.0
15/10/2025,3100.0
15/10/2025,11800.0
15/10/2025,5100.0
15/10/2025,4600.0
15/10/2025,6600.0
15/10/2025,2600.0
15/10/2025,2600.0
15/10/2025,2500.0
15/10/2025,1400.0
15/10/2025,2900.0
15/10/2025,1900.0
15/10/2025,2900.0
15/10/2025,4900.0
15/10/2025,3400.0
15/10/2025,4500.0
15/10/2025,8000.0
15/10/2025,8500.0
15/10/2025,5500.0
15/10/2025,4000.0
15/10/2025,8000.0
15/10/2025,3000.0
15/10/2025,6000.0
15/10/2025,6800.0
15/10/2025,45000.0
15/10/2025,3800.0
15/10/2025,3000.0
15/10/2025,4800.0
15/10/2025,4300.0
15/10/2025,4000.0
15/10/2025,4000.0
15/10/2025,2800.0
15/10/2025,5500.0
15/10/2025,4000.0
15/10/2025,5000.0
15/10/2025,2800.0
15/10/2025,4000.0
15/10/2025,5200.0
15/10/2025,5200.0
15/10/2025,5200.0
15/10/2025,3500.0
15/10/2025,2900.0
15/10/2025,3500.0
15/10/2025,2700.0
15/10/2025,3200.0
15/10/2025,10000.0
15/10/2025,7500.0
15/10/2025,6500.0
15/10/2025,3000.0
15/10/2025,3900.0
15/10/2025,5700.0
15/10/2025,5700.0
15/10/2025,5700.0
15/10/2025,4700.0
